               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11463,            0.031387,            0.026646,           0.0025182,               0.675,           0.0027584,           0.0010631,            0.086287,            0.022163,            0.021619,              0.0973,              0.0003,              0.0003
                   1,            0.098297,            0.030271,            0.024914,           0.0029646,                 0.8,           0.0062467,            0.001611,            0.082603,            0.021381,            0.020819,            0.093688,          0.00068845,          0.00068845
                   2,             0.10509,            0.033404,            0.024617,           0.0033425,                 0.9,             0.02799,           0.0089284,            0.071009,            0.020889,            0.019647,            0.090064,           0.0010637,           0.0010637
                   3,            0.070793,            0.031922,            0.021966,            0.073705,               0.125,             0.17871,            0.064423,             0.04377,            0.021309,            0.019702,            0.086426,           0.0014257,           0.0014257
                   4,            0.071409,            0.033815,            0.016093,             0.20553,                 0.5,             0.31676,             0.15934,            0.037412,            0.020972,            0.019556,            0.082775,           0.0017746,           0.0017746
                   5,            0.083091,            0.033387,            0.019731,              0.2657,                 0.5,             0.40352,             0.16202,            0.032521,            0.020341,             0.01828,             0.07911,           0.0021103,           0.0021103
                   6,             0.06755,            0.031492,            0.014001,             0.96224,               0.375,             0.46313,             0.19301,            0.033442,            0.018825,            0.016766,            0.075433,           0.0024327,           0.0024327
                   7,            0.057371,            0.030918,            0.017821,             0.75284,             0.38493,             0.44114,             0.16312,            0.031909,            0.017738,            0.013031,            0.071742,            0.002742,            0.002742
                   8,            0.056701,            0.028772,            0.011079,             0.77665,                 0.5,             0.49757,             0.22404,            0.036055,            0.016455,            0.011417,            0.068038,            0.003038,            0.003038
                   9,            0.060007,            0.027369,            0.010347,              0.9622,                0.25,             0.42382,             0.16491,            0.037316,            0.014892,            0.010565,            0.064321,           0.0033208,           0.0033208
                  10,             0.05655,            0.022032,            0.011373,                   1,             0.36455,             0.63034,              0.2992,            0.035909,            0.014807,           0.0084991,             0.06059,           0.0035905,           0.0035905
                  11,            0.063833,            0.022725,           0.0075927,                   1,              0.3532,             0.73787,             0.40315,            0.034133,            0.013977,           0.0064896,            0.056847,            0.003847,            0.003847
                  12,            0.055875,            0.021025,           0.0071983,             0.71992,             0.99341,              0.9325,             0.49826,            0.032931,            0.012897,           0.0046982,             0.05309,           0.0040902,           0.0040902
                  13,            0.049422,             0.02044,           0.0056607,             0.46438,             0.81371,             0.73212,             0.31499,            0.032725,            0.012366,           0.0041222,             0.04932,           0.0043202,           0.0043202
                  14,            0.048384,            0.018928,           0.0084182,             0.72611,               0.875,             0.95333,             0.60391,            0.024007,            0.010456,           0.0031517,            0.045537,           0.0045371,           0.0045371
